OVO-nummer;Naam;Korte naam;OVO-nummer moeder entiteit;Moeder entiteit
OVO006707;Gemeentesecretariaat;;OVO002062;Gemeente Galmaarden
OVO006884;Dienst Gemeentewerken;;OVO002080;Gemeente Hamme (Vl.)
OVO006977;Gemeentemagazijn;;OVO002087;Gemeente Hemiksem
OVO007035;Gemeentewerkhal;;OVO002093;Gemeente Herselt
OVO007269;Gemeentesecretariaat;;OVO002115;Gemeente Kalmthout
OVO007394;Dienst Gemeentewerken;;OVO002123;Gemeente Kluisbergen
OVO007490;Gemeentesecretariaat;;OVO002128;Gemeente Kontich
OVO007571;Dienst Beheer openbaar domein en gemeentelijk patrimonium;;OVO002134;Gemeente Kraainem
OVO007625;Sector Gemeentelijke ontwikkeling & infrastructuur;;OVO002138;Gemeente Laakdal
OVO007942;Gemeentelijke uitleendienst;;OVO002168;Gemeente Maasmechelen
OVO007980;Gemeentearchief;;OVO002170;Gemeente Maldegem
OVO008069;Gemeentelijk depot;;OVO002176;Gemeente Melle
OVO008174;Dienst Erfgoed & gemeentearchief;;OVO002185;Gemeente Mol
OVO008377;Gemeente Oudsbergen
OVO008379;Gemeente Kruisem
OVO008380;Gemeente Pelt
OVO008381;Gemeente Lievegem
OVO008382;Gemeente Puurs-Sint-Amands
OVO008402;Autonoom Gemeentebedrijf Willebroek;AGB Willebroek
OVO008457;TUSSENGEMEENTELIJKE MAATSCHAPPIJ DER VLAANDEREN VOOR WATERVOORZIENING;T.M.V.W.
OVO008649;Autonoom Gemeentebedrijf Zoersel
OVO008653;POLDERRAND Intergemeentelijke Onroerend Erfgoeddienst;POLDERRAND
OVO009388;Gemeentebedrijf Olympos;Gemeentebedrijf Olympos
OVO009389;Gemeentelijk Comitee Tempus;Gemeentelijk Comitee Tempus
OVO009392;Gemeentelijk Feestcomite;Gemeentelijk Feestcomite
OVO009393;Gemeentelijk Jeugdcentrum Aalter
OVO009394;Gemeentelijk Wielersportcomite Asse;Gemeentelijk Wielersportcomite Asse
OVO009395;Gemeentelijke Jeugddienst Temse;Gemeentelijke Jeugddienst Temse;OVO002245;Gemeente Temse
OVO009397;Gemeentelijke Basisschool de basiz gbshenis
OVO009398;Gemeentelijke Basisschool - Alt-Hoeselt;Gemeentelijke Basisschool - Alt-Hoeselt
OVO009399;Gemeentelijke Basisschool - De Bosmier;Gemeentelijke Basisschool - De Bosmier
OVO009400;Gemeentelijke Basisschool - De Horizon Dilsen-Stokkem;Gemeentelijke Basisschool - De Horizon
OVO009401;Gemeentelijke Basisschool - De Klinker Riemst;Gemeentelijke Basisschool - De Klinker
OVO009402;Gemeentelijke Basisschool - Dijkstein;Gemeentelijke Basisschool Dijkstein
OVO009404;Gemeentelijke Cultuurraad Aalst;Gemeentelijke Cultuurraad Aalst
OVO009405;Gemeentelijke Cultuurraad Aalter;Gemeentelijke Cultuurraad Aalter
OVO009406;Gemeentelijke Cultuurraad Aarschot;Gemeentelijke Cultuurraad Aarschot
OVO009407;Gemeentelijke Cultuurraad Aartselaar;Gemeentelijke Cultuurraad Aartselaar
OVO009408;Gemeentelijke Cultuurraad Affligem;Gemeentelijke Cultuurraad Affligem
OVO009409;Gemeentelijke Freinetschool De Boomgaard;Gemeentelijke Freinetschool De Boomgaard
OVO009410;Gemeentelijke Jeugdcentra Beveren
OVO009411;Gemeentelijke Jeugdraad Tessenderlo;Gejr
OVO009412;Gemeentelijke Lagere School voor Buitengewoon Onderwijs 't Schakeltje;'t Schakeltje
OVO009413;Gemeentelijke Seniorenvereniging Wachtebeke;Gemeentelijke Seniorenvereniging Wachtebeke
OVO009414;Gemeentemuseum Den Haag;Gemeentemuseum Den Haag
OVO009415;Gemeenteschool Hooglede;Gemeenteschool Hooglede
OVO009928;Heemkundige Kring Voor De Gemeenten Van De Vroegere Roede Van Tielt;Heemkundige Kring Voor De Gemeenten Van De Vroegere Roede Van Tielt
OVO010556;INTERGEMEENTELIJK OPBOUWWERK ARRONDIMENT LEUVEN-WERK;IGO-W
OVO011437;Koninklijk Gemeentelijk Tenniscentrum Zwevegem;KGTC. Zwevegem
OVO011588;Koninklijke Gemeenteharmonie De Verenigde Vrienden
OVO011589;Koninklijke Gemeenteharmonie Heusden;KOGH
OVO011791;Gemeente Aalter
OVO017482;Tussengemeentelijk Lazaret en Schiftingscentrum @Albert-Elisabeth@ te Sint-Niklaas
OVO017924;Vereniging Sport En Gemeenten Media & Events;Vereniging Sport En Gemeenten Media & Events
OVO018451;Vriendenkring Gemeentelijke Academie voor Muziek en Woord;Vriendenkring GAMW
OVO020333;Gemeentelijk Cultuurcentrum Beveren
OVO020334;Gemeentelijk Ontmoetingscentrum Zwijndrecht 'T Waaigat;Gemeenschapscentrum Zwijndrecht
